time,total_queue_length,waiting_for_seat_count,occupied_seats,finished_students,seat_utilization
542,2,0,42,0,0.4200
543,1,0,43,0,0.4300
544,1,0,43,0,0.4300
545,1,0,43,0,0.4300
546,1,0,43,0,0.4300
547,1,0,43,0,0.4300
548,1,0,43,0,0.4300
549,1,0,43,0,0.4300
550,1,0,43,0,0.4300
551,1,0,43,0,0.4300
552,0,0,44,0,0.4400
553,0,0,44,0,0.4400
554,0,0,44,0,0.4400
555,0,0,44,0,0.4400
556,0,0,44,0,0.4400
557,0,0,44,0,0.4400
558,0,0,44,0,0.4400
559,0,0,44,0,0.4400
560,0,0,44,0,0.4400
561,0,0,44,0,0.4400
562,0,0,44,0,0.4400
563,0,0,44,0,0.4400
564,0,0,44,0,0.4400
565,0,0,44,0,0.4400
566,0,0,44,0,0.4400
567,0,0,44,0,0.4400
568,1,0,44,0,0.4400
569,1,0,44,0,0.4400
570,1,0,44,0,0.4400
571,1,0,44,0,0.4400
572,1,0,44,0,0.4400
573,1,0,44,0,0.4400
574,1,0,44,0,0.4400
575,1,0,44,0,0.4400
576,1,0,44,0,0.4400
577,1,0,44,0,0.4400
578,1,0,44,0,0.4400
579,1,0,44,0,0.4400
580,2,0,44,0,0.4400
581,2,0,44,0,0.4400
582,2,0,44,0,0.4400
583,2,0,44,0,0.4400
584,2,0,44,0,0.4400
585,2,0,44,0,0.4400
586,2,0,44,0,0.4400
587,2,0,44,0,0.4400
588,2,0,44,0,0.4400
589,2,0,44,0,0.4400
590,2,0,44,0,0.4400
591,2,0,44,0,0.4400
592,2,0,44,0,0.4400
593,2,0,44,0,0.4400
594,2,0,44,0,0.4400
595,2,0,44,0,0.4400
596,2,0,44,0,0.4400
597,1,0,45,0,0.4500
598,1,0,45,0,0.4500
599,1,0,45,0,0.4500
600,1,0,45,0,0.4500
601,1,0,45,0,0.4500
602,1,0,45,0,0.4500
603,1,0,45,0,0.4500
604,1,0,45,0,0.4500
605,1,0,45,0,0.4500
606,1,0,45,0,0.4500
607,2,0,45,0,0.4500
608,1,0,46,0,0.4600
609,1,0,46,0,0.4600
610,1,0,46,0,0.4600
611,1,0,46,0,0.4600
612,1,0,46,0,0.4600
613,1,0,46,0,0.4600
614,1,0,46,0,0.4600
615,1,0,46,0,0.4600
616,1,0,46,0,0.4600
617,2,0,46,0,0.4600
618,2,0,46,0,0.4600
619,2,0,46,0,0.4600
620,2,0,45,1,0.4500
621,2,0,45,1,0.4500
622,2,0,45,1,0.4500
623,2,0,45,1,0.4500
624,2,0,45,1,0.4500
625,2,0,45,1,0.4500
626,2,0,45,1,0.4500
627,2,0,45,1,0.4500
628,2,0,45,1,0.4500
629,2,0,45,1,0.4500
630,0,0,47,1,0.4700
631,0,0,47,1,0.4700
632,0,0,47,1,0.4700
633,0,0,47,1,0.4700
634,0,0,47,1,0.4700
635,0,0,47,1,0.4700
636,1,0,47,1,0.4700
637,1,0,47,1,0.4700
638,1,0,47,1,0.4700
639,1,0,47,1,0.4700
640,1,0,47,1,0.4700
641,1,0,47,1,0.4700
642,1,0,47,1,0.4700
643,1,0,47,1,0.4700
644,1,0,47,1,0.4700
645,1,0,47,1,0.4700
646,1,0,47,1,0.4700
647,1,0,47,1,0.4700
648,1,0,47,1,0.4700
649,1,0,47,1,0.4700
650,1,0,47,1,0.4700
651,1,0,47,1,0.4700
652,1,0,47,1,0.4700
653,1,0,47,1,0.4700
654,1,0,47,1,0.4700
655,1,0,47,1,0.4700
656,1,0,47,1,0.4700
657,1,0,47,1,0.4700
658,1,0,47,1,0.4700
659,1,0,47,1,0.4700
660,1,0,47,1,0.4700
661,1,0,47,1,0.4700
662,0,0,48,1,0.4800
663,0,0,48,1,0.4800
664,0,0,48,1,0.4800
665,0,0,48,1,0.4800
666,0,0,48,1,0.4800
667,0,0,48,1,0.4800
668,0,0,48,1,0.4800
669,0,0,48,1,0.4800
670,0,0,48,1,0.4800
671,0,0,48,1,0.4800
672,1,0,48,1,0.4800
673,1,0,48,1,0.4800
674,1,0,48,1,0.4800
675,2,0,48,1,0.4800
676,2,0,48,1,0.4800
677,2,0,48,1,0.4800
678,3,0,48,1,0.4800
679,3,0,48,1,0.4800
680,3,0,48,1,0.4800
681,3,0,48,1,0.4800
682,3,0,48,1,0.4800
683,3,0,48,1,0.4800
684,3,0,48,1,0.4800
685,3,0,48,1,0.4800
686,4,0,48,1,0.4800
687,3,0,49,1,0.4900
688,3,0,49,1,0.4900
689,4,0,49,1,0.4900
690,5,0,49,1,0.4900
691,5,0,49,1,0.4900
692,5,0,49,1,0.4900
693,6,0,49,1,0.4900
694,6,0,49,1,0.4900
695,5,0,50,1,0.5000
696,5,0,50,1,0.5000
697,5,0,50,1,0.5000
698,4,0,51,1,0.5100
699,4,0,51,1,0.5100
700,4,0,51,1,0.5100
701,4,0,51,1,0.5100
702,3,0,52,1,0.5200
703,3,0,52,1,0.5200
704,3,0,52,1,0.5200
705,3,0,52,1,0.5200
706,3,0,52,1,0.5200
707,3,0,52,1,0.5200
708,3,0,52,1,0.5200
709,3,0,52,1,0.5200
710,3,0,52,1,0.5200
